Run #1,Run #1,Run #1,Run #2,Run #2,Run #2
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
02/05/2020 01:47:17 pm,30.00,313,02/05/2020 03:27:06 pm,30.00,20
02/05/2020 01:47:47 pm,60.00,320,02/05/2020 03:27:36 pm,60.00,17
02/05/2020 01:48:17 pm,90.00,291,02/05/2020 03:28:06 pm,90.00,16
02/05/2020 01:48:47 pm,120.00,311,02/05/2020 03:28:36 pm,120.00,12
02/05/2020 01:49:17 pm,150.00,296,02/05/2020 03:29:06 pm,150.00,17
02/05/2020 01:49:47 pm,180.00,327,02/05/2020 03:29:36 pm,180.00,16
02/05/2020 01:50:17 pm,210.00,334,02/05/2020 03:30:06 pm,210.00,20
02/05/2020 01:50:47 pm,240.00,313,02/05/2020 03:30:36 pm,240.00,22
02/05/2020 01:51:17 pm,270.00,325,02/05/2020 03:31:06 pm,270.00,24
02/05/2020 01:51:47 pm,300.00,309,02/05/2020 03:31:36 pm,300.00,20
02/05/2020 01:52:17 pm,330.00,299,02/05/2020 03:32:06 pm,330.00,16
02/05/2020 01:52:47 pm,360.00,301,02/05/2020 03:32:36 pm,360.00,22
02/05/2020 01:53:17 pm,390.00,308,,,
02/05/2020 01:53:47 pm,420.00,296,,,
02/05/2020 01:54:17 pm,450.00,317,,,
02/05/2020 01:54:47 pm,480.00,295,,,
02/05/2020 01:55:17 pm,510.00,300,,,
02/05/2020 01:55:47 pm,540.00,305,,,
02/05/2020 01:56:17 pm,570.00,268,,,
02/05/2020 01:56:47 pm,600.00,286,,,
02/05/2020 01:57:17 pm,630.00,297,,,
02/05/2020 01:57:47 pm,660.00,255,,,
02/05/2020 01:58:17 pm,690.00,271,,,
02/05/2020 01:58:47 pm,720.00,292,,,
02/05/2020 01:59:17 pm,750.00,306,,,
02/05/2020 01:59:47 pm,780.00,266,,,
02/05/2020 02:00:17 pm,810.00,263,,,
02/05/2020 02:00:47 pm,840.00,272,,,
02/05/2020 02:01:17 pm,870.00,274,,,
02/05/2020 02:01:47 pm,900.00,273,,,
02/05/2020 02:02:17 pm,930.00,250,,,
02/05/2020 02:02:47 pm,960.00,258,,,
02/05/2020 02:03:17 pm,990.00,270,,,
02/05/2020 02:03:47 pm,1020.00,294,,,
02/05/2020 02:04:17 pm,1050.00,293,,,
02/05/2020 02:04:47 pm,1080.00,268,,,
02/05/2020 02:05:17 pm,1110.00,278,,,
02/05/2020 02:05:47 pm,1140.00,273,,,
02/05/2020 02:06:17 pm,1170.00,254,,,
02/05/2020 02:06:47 pm,1200.00,253,,,
02/05/2020 02:07:17 pm,1230.00,265,,,
02/05/2020 02:07:47 pm,1260.00,276,,,
02/05/2020 02:08:17 pm,1290.00,274,,,
02/05/2020 02:08:47 pm,1320.00,272,,,
02/05/2020 02:09:17 pm,1350.00,265,,,
02/05/2020 02:09:47 pm,1380.00,261,,,
02/05/2020 02:10:17 pm,1410.00,273,,,
02/05/2020 02:10:47 pm,1440.00,226,,,
02/05/2020 02:11:17 pm,1470.00,244,,,
02/05/2020 02:11:47 pm,1500.00,215,,,
02/05/2020 02:12:17 pm,1530.00,266,,,
02/05/2020 02:12:47 pm,1560.00,252,,,
02/05/2020 02:13:17 pm,1590.00,253,,,
02/05/2020 02:13:47 pm,1620.00,209,,,
02/05/2020 02:14:17 pm,1650.00,218,,,
02/05/2020 02:14:47 pm,1680.00,231,,,
02/05/2020 02:15:17 pm,1710.00,241,,,
02/05/2020 02:15:47 pm,1740.00,227,,,
02/05/2020 02:16:17 pm,1770.00,231,,,
02/05/2020 02:16:47 pm,1800.00,236,,,
02/05/2020 02:17:17 pm,1830.00,230,,,
02/05/2020 02:17:47 pm,1860.00,232,,,
02/05/2020 02:18:17 pm,1890.00,224,,,
02/05/2020 02:18:47 pm,1920.00,242,,,
02/05/2020 02:19:17 pm,1950.00,232,,,
02/05/2020 02:19:47 pm,1980.00,232,,,
02/05/2020 02:20:17 pm,2010.00,221,,,
02/05/2020 02:20:47 pm,2040.00,217,,,
02/05/2020 02:21:17 pm,2070.00,217,,,
02/05/2020 02:21:47 pm,2100.00,212,,,
02/05/2020 02:22:17 pm,2130.00,209,,,
02/05/2020 02:22:47 pm,2160.00,194,,,
02/05/2020 02:23:17 pm,2190.00,215,,,
02/05/2020 02:23:47 pm,2220.00,206,,,
