Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
01/29/2020 02:18:47 pm,1.00,45.000,01/29/2020 02:20:13 pm,1.00,37.000,01/29/2020 02:24:03 pm,1.00,57.000,01/29/2020 02:25:05 pm,1.00,35.000,01/29/2020 02:29:42 pm,2.00,83.000,01/29/2020 02:32:29 pm,2.00,90.000,01/29/2020 02:34:38 pm,2.00,87.000,01/29/2020 02:44:49 pm,5.00,345.000
01/29/2020 02:18:48 pm,2.00,44.000,01/29/2020 02:20:14 pm,2.00,32.000,01/29/2020 02:24:04 pm,2.00,53.000,01/29/2020 02:25:06 pm,2.00,41.000,01/29/2020 02:29:44 pm,4.00,88.000,01/29/2020 02:32:31 pm,4.00,92.000,01/29/2020 02:34:40 pm,4.00,77.000,01/29/2020 02:44:54 pm,10.00,340.000
01/29/2020 02:18:49 pm,3.00,45.000,01/29/2020 02:20:15 pm,3.00,34.000,01/29/2020 02:24:05 pm,3.00,52.000,01/29/2020 02:25:07 pm,3.00,47.000,01/29/2020 02:29:46 pm,6.00,72.000,01/29/2020 02:32:33 pm,6.00,88.000,01/29/2020 02:34:42 pm,6.00,72.000,01/29/2020 02:44:59 pm,15.00,336.000
01/29/2020 02:18:50 pm,4.00,40.000,01/29/2020 02:20:16 pm,4.00,47.000,01/29/2020 02:24:06 pm,4.00,40.000,01/29/2020 02:25:08 pm,4.00,41.000,01/29/2020 02:29:48 pm,8.00,69.000,01/29/2020 02:32:35 pm,8.00,97.000,01/29/2020 02:34:44 pm,8.00,82.000,01/29/2020 02:45:04 pm,20.00,324.000
01/29/2020 02:18:51 pm,5.00,31.000,01/29/2020 02:20:17 pm,5.00,45.000,01/29/2020 02:24:07 pm,5.00,47.000,01/29/2020 02:25:09 pm,5.00,43.000,01/29/2020 02:29:50 pm,10.00,86.000,01/29/2020 02:32:37 pm,10.00,71.000,01/29/2020 02:34:46 pm,10.00,73.000,01/29/2020 02:45:09 pm,25.00,326.000
01/29/2020 02:18:52 pm,6.00,46.000,01/29/2020 02:20:18 pm,6.00,46.000,01/29/2020 02:24:08 pm,6.00,47.000,01/29/2020 02:25:10 pm,6.00,48.000,01/29/2020 02:29:52 pm,12.00,101.000,01/29/2020 02:32:39 pm,12.00,92.000,01/29/2020 02:34:48 pm,12.00,92.000,01/29/2020 02:45:14 pm,30.00,303.000
01/29/2020 02:18:53 pm,7.00,44.000,01/29/2020 02:20:19 pm,7.00,34.000,01/29/2020 02:24:09 pm,7.00,41.000,01/29/2020 02:25:11 pm,7.00,53.000,01/29/2020 02:29:54 pm,14.00,84.000,01/29/2020 02:32:41 pm,14.00,99.000,01/29/2020 02:34:50 pm,14.00,98.000,01/29/2020 02:45:19 pm,35.00,302.000
01/29/2020 02:18:54 pm,8.00,40.000,01/29/2020 02:20:20 pm,8.00,53.000,01/29/2020 02:24:10 pm,8.00,48.000,01/29/2020 02:25:12 pm,8.00,35.000,01/29/2020 02:29:56 pm,16.00,75.000,01/29/2020 02:32:43 pm,16.00,96.000,01/29/2020 02:34:52 pm,16.00,76.000,01/29/2020 02:45:24 pm,40.00,263.000
01/29/2020 02:18:55 pm,9.00,44.000,01/29/2020 02:20:21 pm,9.00,44.000,01/29/2020 02:24:11 pm,9.00,41.000,01/29/2020 02:25:13 pm,9.00,46.000,01/29/2020 02:29:58 pm,18.00,87.000,01/29/2020 02:32:45 pm,18.00,100.000,01/29/2020 02:34:54 pm,18.00,99.000,01/29/2020 02:45:29 pm,45.00,336.000
